source,question,short
Onward2022,"Voting Intention (VI) - ""And, if a general election was called tomorrow, which party would you vote for?"" -- Conservative",Q01_CON
Onward2022,"Voting Intention (VI) - ""And, if a general election was called tomorrow, which party would you vote for?"" -- Labour",Q01_LAB
Onward2022,"Voting Intention (VI) - ""And, if a general election was called tomorrow, which party would you vote for?"" -- Liberal Democrat",Q01_LIB
Onward2022,"Voting Intention (VI) - ""And, if a general election was called tomorrow, which party would you vote for?"" -- Reform UK",Q01_Reform
Onward2022,"Voting Intention (VI) - ""And, if a general election was called tomorrow, which party would you vote for?"" -- Green",Q01_Green
Onward2022,"Voting Intention (VI) - ""And, if a general election was called tomorrow, which party would you vote for?"" -- Plaid Cymru/SNP",Q01_NAT
Onward2022,"Voting Intention (VI) - ""And, if a general election was called tomorrow, which party would you vote for?"" -- Another party",Q01_OTH
Onward2022,"Voting Intention (VI) - ""And, if a general election was called tomorrow, which party would you vote for?"" -- I would not vote",Q01_ZNV
Onward2022,"VI With Pledge “If I was made Conservative Party leader and Prime Minister, I would pause the UK’s plans to deliver “Net Zero”. People are struggling with their living costs, and it is not the right time to be asking consumers to switch to electric vehicles or to pay levies on their energy bills to invest in renewable energy.” -- Conservative",Q03_CON
Onward2022,"VI With Pledge “If I was made Conservative Party leader and Prime Minister, I would pause the UK’s plans to deliver “Net Zero”. People are struggling with their living costs, and it is not the right time to be asking consumers to switch to electric vehicles or to pay levies on their energy bills to invest in renewable energy.” -- Labour",Q03_LAB
Onward2022,"VI With Pledge “If I was made Conservative Party leader and Prime Minister, I would pause the UK’s plans to deliver “Net Zero”. People are struggling with their living costs, and it is not the right time to be asking consumers to switch to electric vehicles or to pay levies on their energy bills to invest in renewable energy.” -- Liberal Democrat",Q03_LIB
Onward2022,"VI With Pledge “If I was made Conservative Party leader and Prime Minister, I would pause the UK’s plans to deliver “Net Zero”. People are struggling with their living costs, and it is not the right time to be asking consumers to switch to electric vehicles or to pay levies on their energy bills to invest in renewable energy.” -- Reform UK",Q03_Reform
Onward2022,"VI With Pledge “If I was made Conservative Party leader and Prime Minister, I would pause the UK’s plans to deliver “Net Zero”. People are struggling with their living costs, and it is not the right time to be asking consumers to switch to electric vehicles or to pay levies on their energy bills to invest in renewable energy.” -- Green",Q03_Green
Onward2022,"VI With Pledge “If I was made Conservative Party leader and Prime Minister, I would pause the UK’s plans to deliver “Net Zero”. People are struggling with their living costs, and it is not the right time to be asking consumers to switch to electric vehicles or to pay levies on their energy bills to invest in renewable energy.” -- Plaid Cymru/SNP",Q03_NAT
